loan_amnt,int_rate,emp_length,annual_inc,delinq_2yrs,earliest_cr_line,total_acc,total_bal_ex_mort
18150,15.59,3,45000,0,3706,22,63580
23075,17.14,10,57806,1,5805,25,29515
21400,21.99,3,120000,1,10677,16,25127
11500,6.68,7,300000,0,3918,21,239789
5500,9.17,10,82000,0,9458,15,16980
5000,9.76,8,100500,0,6445,20,15946
18000,9.99,10,100000,0,8059,24,58040
8000,14.99,9,30000,1,3461,11,9784
25000,10.99,0,92000,1,13172,31,23594
10500,13.99,10,60000,0,6475,16,10500
14000,12.59,1,65000,0,4588,25,32675
17500,7.89,6,110000,1,6993,25,66005
8000,12.59,9,33000,0,6598,34,52499
34500,9.76,9,186000,0,5259,30,57576
12000,7.26,1,250000,1,8271,23,113469
6000,12.69,10,27000,0,6445,20,8343
12950,15.61,6,60000,0,6536,34,97808
5400,9.99,7,90000,0,6779,21,11489
8000,6.49,9,69000,0,5563,18,29959
25000,11.53,4,243000,0,5563,39,159043
10000,6.49,10,62000,0,4984,16,26394
16000,8.38,10,80000,0,4741,28,66233
20000,13.18,3,80000,0,5624,29,50935
20000,13.66,1,85000,0,10828,17,38271
11000,14.65,10,25000,0,5349,15,16758
6800,7.89,4,60000,0,5836,7,15464
16000,5.32,2,100000,0,7266,70,27746
25000,15.61,4,145000,1,12015,29,110042
6000,14.65,5,45000,0,3280,16,42220
1000,12.29,10,43000,0,7694,11,18274
6700,9.17,8,57000,1,7419,26,50355
5125,16.99,0,15132,0,4132,22,4640
20000,10.99,1,90000,2,8515,29,7471
20000,14.65,6,61000,1,4191,26,38510
7000,9.99,1,37200,0,1666,8,7611
12000,8.18,10,127500,0,6536,13,77157
7000,12.29,10,56000,0,6993,36,36678
5000,8.18,1,32500,1,10646,30,57479
7050,15.41,5,21000,0,2518,10,20372
12000,5.93,2,55190,0,6628,51,121812
7275,10.99,5,28500,0,7816,28,29286
35000,16.99,5,112000,0,4894,50,116691
10000,7.89,1,75000,2,7205,45,69030
15000,6.68,1,63000,0,4619,25,54699
19000,9.17,2,80000,0,4984,23,32502
10000,6.89,10,90000,1,7328,18,44628
10800,12.29,4,96000,0,3979,19,22588
18000,11.44,10,150000,0,6445,26,71995
15500,5.32,5,68000,0,8362,21,31013
13000,14.65,2,63000,1,6720,37,29836
7000,8.19,0,20112,0,9305,9,4395
2100,12.29,5,27000,0,4163,12,5122
13000,16.55,10,51400,1,5349,16,45409
21000,8.19,10,102000,0,6567,21,41371
6000,16.55,5,45000,4,10738,25,45135
35000,12.29,10,120000,0,12168,63,37656
12000,17.57,6,65000,0,5471,15,10960
18000,15.61,8,70000,0,5259,21,38530
4000,12.69,3,45000,0,2730,19,31236
15100,15.99,9,40000,0,9155,37,30707
25475,20.99,3,120000,1,4710,50,67629
25000,7.49,0,120000,0,8515,24,19322
9000,8.38,1,59800,0,4132,27,49192
6500,9.99,9,61000,1,7236,32,6659
14000,6.89,1,200000,0,9246,30,85748
9525,12.69,6,40000,0,7297,15,48134
35000,8.18,10,95000,0,10219,54,66901
8400,9.17,5,55000,0,5075,24,86814
2500,17.57,7,36000,0,4619,13,5082
18000,12.29,1,40000,1,7144,39,58973
9000,15.61,4,94000,0,8393,16,39546
15000,7.26,10,80000,0,10524,42,51332
8000,13.99,10,125000,0,5014,63,131681
12000,11.53,9,60549,0,6080,28,59544
10500,12.29,10,91000,6,12380,40,30110
17600,18.84,8,40000,0,6720,17,24075
16700,12.59,2,56000,0,1941,9,17418
5000,6.89,1,80000,0,3645,27,32305
10000,7.89,10,110000,0,8362,29,50735
12000,11.99,2,103000,0,6536,23,88029
22400,8.18,4,95000,0,5502,28,68571
35000,12.69,10,120000,0,5775,38,85829
9000,18.25,2,34000,0,6383,18,25581
10800,17.86,7,55000,0,6414,22,94673
30000,16.99,0,102000,2,9701,58,105640
9250,12.99,8,46100,0,6080,30,26280
20000,8.18,1,90000,0,10158,27,74603
15000,5.32,7,100000,3,4680,26,23161
6000,9.99,5,30000,0,2062,14,20957
6725,9.17,3,200000,1,1606,6,4457
25200,7.89,10,55000,0,5440,25,41275
6025,16.99,3,75000,0,11893,21,16258
15000,9.17,10,102000,2,11711,25,52738
20000,5.32,10,80000,0,7694,19,12222
18000,6.89,10,85000,0,7816,21,63741
6200,9.99,1,44000,0,5045,12,29787
6000,9.17,1,28000,0,5379,17,13215
14000,18.55,0,28000,0,12684,39,3554
28000,9.17,1,90000,0,11346,34,74329
8000,12.29,3,34221,1,5897,29,18555
25000,9.99,6,117000,1,11072,36,50218
15000,13.33,4,50000,0,2883,8,22207
12000,12.29,8,42000,0,5014,36,81382
20000,11.49,2,52000,0,1819,14,27513
9000,16.99,2,25000,0,8850,18,10041
19000,13.99,1,75000,0,3158,12,59471
7575,13.99,10,59000,0,9670,40,24812
4800,11.53,10,80000,0,15180,36,80452
10000,10.99,10,221000,1,4953,27,229619
12000,9.17,10,39000,2,9489,25,36152
25000,5.32,8,190000,0,15759,55,109978
35000,21.99,9,112000,0,4467,30,53252
21600,17.57,5,48000,0,1727,11,11997
25000,19.19,10,300000,0,9915,34,94849
19800,15.99,10,56000,0,4588,23,36033
16000,16.99,1,50000,0,4283,29,60555
6000,9.17,4,55000,0,6110,18,13404
7000,12.59,2,35000,1,3127,25,26738
4800,9.17,4,57000,0,6383,36,16788
12000,9.17,2,82000,0,4436,40,77923
15000,8.67,7,69500,0,6536,27,44014
11200,7.26,0,54000,0,4649,7,10937
10000,10.99,5,65000,0,5928,53,133191
28000,22.99,7,85000,0,4041,26,68967
9000,12.29,10,65500,0,5318,45,44124
5400,11.53,2,81000,1,4163,28,78141
15000,7.89,4,65000,0,12564,27,28604
9000,16.55,8,25000,0,2945,9,28239
18000,8.18,10,170000,0,7419,23,40627
1000,10.99,10,50000,0,5106,20,14475
32500,14.65,0,84000,0,11833,33,84895
21075,12.29,10,42176.53,0,8880,19,70989
5925,16.55,2,42000,2,5624,17,34634
8000,11.53,1,28000,0,5410,15,16326
12000,10.99,2,89000,0,6506,23,25324
24000,11.22,8,76000,0,7024,25,37947
13000,8.18,1,50000,1,7266,10,20191
10000,8.19,4,42000,1,6567,19,10642
7200,13.33,5,45000,0,1941,8,11579
14000,11.99,1,55000,0,2457,8,19924
30000,13.99,8,172000,0,4163,43,79710
20000,9.99,3,70000,2,6993,31,44178
12000,10.99,3,40000,0,6141,15,42864
8000,13.66,10,53000,0,14724,16,38610
18000,9.99,10,50000,0,5106,15,29248
18000,11.22,1,96000,0,5167,26,52462
16800,7.89,10,166000,1,6506,14,62785
14100,14.65,1,52500,0,4588,22,56198
17700,14.65,8,35500,0,6536,17,47322
11000,9.17,4,52000,0,4222,28,25516
19350,11.99,10,120000,0,9155,25,18536
12000,7.89,10,78500,0,8120,13,16596
10000,9.17,4,45000,0,6414,19,7009
35000,12.69,10,142000,0,4102,17,36364
20000,12.69,4,56000,0,2396,19,40664
12050,10.99,6,38000,0,2761,16,21549
7500,8.19,10,40000,0,10981,14,19438
2500,9.17,1,67000,0,10919,27,14656
15000,6.68,10,85000,0,9155,38,57628
6600,17.14,1,22000,0,13629,27,14131
5000,13.33,1,27500,0,11376,17,9316
24000,10.99,3,55000,0,5683,36,46916
28000,7.89,10,130000,0,4497,30,69310
20000,11.48,10,85000,0,4467,42,67293
10000,12.29,4,62500,0,5228,12,17222
18000,17.86,4,45000,0,4283,39,123634
8400,9.17,1,40000,0,6567,14,5357
10525,22.99,7,31000,0,4283,21,17908
10800,14.33,8,50000,0,4772,24,40032
31575,25.57,8,105000,0,4528,27,70372
15000,13.44,9,98000,0,4833,58,106210
8500,9.17,10,150000,0,9793,29,80134
15000,8.67,10,50000,0,5045,32,51244
10000,11.99,10,46000,0,5137,16,9837
15000,8.18,10,54000,2,5440,20,27926
8000,10.99,1,30000,1,3614,25,6361
11000,9.17,10,82000,2,7266,30,73861
5000,5.32,10,80000,0,7632,46,71067
18000,15.41,2,62000,1,2427,11,31443
9000,7.89,10,46124,0,5958,20,10564
16500,9.49,2,45000,0,6598,23,27341
20000,18.2,5,60000,0,4344,10,17961
10000,9.99,1,70000,0,11468,14,20275
35000,24.99,8,95000,1,5563,38,49761
28000,13.33,10,112000,1,7297,37,42721
25000,16.55,10,120000,2,9611,17,34784
8000,12.69,10,53000,0,6598,34,11763
6400,12.59,8,71352,3,4283,18,56132
25000,6.89,9,115000,1,6018,18,76303
14975,14.33,1,47500,0,4741,39,116224
5000,9.99,10,71000,5,9946,46,90574
35000,25.83,10,91000,0,6263,23,47329
23775,16.99,10,110000,0,11862,32,118210
6000,6.03,1,122000,0,8089,31,51017
4500,6.24,2,77000,5,3798,19,38760
16000,15.59,2,72000,0,6233,46,30686
6000,8.67,9,52000,0,3372,5,6359
16000,8.18,2,66000,0,5137,30,83786
10000,11.53,1,40000,0,6689,9,11229
11000,13.66,8,36000,0,1819,15,9072
6400,9.17,4,73000,0,6689,26,101441
25550,12.69,5,87000,0,3857,13,38030
21525,14.65,10,47000,0,4772,10,25076
20000,13.99,10,80000,1,5836,43,57556
2200,15.41,5,24960,0,4649,16,15144
3400,14.65,2,25000,0,3280,22,60668
7000,6.68,10,60000,0,8059,31,28072
24000,17.86,7,325000,0,3767,18,53078
1000,6.39,0,67000,0,4680,29,28234
8950,23.99,2,28000,0,2914,8,24745
8150,25.78,5,24000,0,7389,15,10320
11000,9.76,3,42000,0,4649,18,11350
16000,15.61,10,101000,0,5379,23,38773
35000,11.49,1,136000,4,6475,34,166506
3500,6.92,10,43500,0,3857,6,4016
10000,11.44,1,88000,0,12107,31,152847
20000,6.89,1,300000,0,8574,27,165003
20600,5.32,3,98000,0,4222,16,24198
2000,16.55,0,15136.32,0,7175,8,16902
12000,17.86,10,98300,0,6018,48,88804
25000,8.18,10,78000,0,9277,32,84478
2000,13.33,1,93000,2,6414,34,14718
18400,9.99,1,40000,0,4344,15,18277
24000,10.49,4,100000,0,6171,54,112742
13675,14.33,3,40000,0,3949,15,18307
9000,8.19,0,40000,1,9520,24,16185
5000,12.59,10,15500,0,4863,13,9166
8000,9.17,1,94000,0,9336,26,26583
20000,10.99,5,60000,0,7602,19,24806
25000,10.99,0,90000,0,9885,41,61371
16775,13.18,1,42000,0,4406,19,22050
1000,6.92,0,32000,0,9793,24,16000
3600,7.89,10,124000,0,6202,26,116919
15600,15.61,10,52000,3,11162,24,37596
10000,12.69,7,48000,0,5259,11,30412
4800,9.99,5,70000,0,6080,28,49715
5200,9.99,7,75000,0,5259,16,16571
12500,14.65,1,50000,1,5167,17,72756
10000,11.99,1,65000,0,4741,11,22010
28000,16.55,1,70000,0,5683,37,55503
29000,12.29,0,68913.84,0,4802,35,55018
12000,18.2,10,48000,0,4557,16,10325
5000,7.26,1,40000,11,3492,21,59181
7000,14.65,7,35000,1,8209,15,14970
30000,9.99,10,88000,0,9976,16,44383
21000,12.29,10,67000,0,5410,21,33043
29700,23.99,4,125000,0,5106,30,72715
18000,11.53,10,85000,0,4222,26,24094
10075,16.99,1,28000,0,4283,22,15168
5000,13.99,1,42000,0,3767,16,21108
14000,7.89,3,53500,0,3979,27,44102
3500,9.17,0,75000,0,6506,27,42468
20250,13.33,5,45000,0,11741,31,26600
10000,6.24,4,84000,0,4953,19,29567
20000,12.05,10,62000,0,9185,30,28759
12000,9.76,10,45000,0,7113,29,37712
20000,5.32,2,57000,0,9489,28,24394
8000,8.18,10,36000,0,6355,19,23205
6175,15.99,8,69600,0,9520,15,5839
8500,5.32,10,72000,0,11527,41,47503
10000,18.25,10,46000,2,9793,35,35750
31000,23.99,4,110000,0,4253,18,100971
21000,13.99,5,154400,0,7844,36,34472
12000,12.29,1,41000,0,14449,12,12501
8825,11.44,0,45000,0,9520,46,51899
22000,13.33,2,90000,0,3706,7,19504
20950,14.65,10,42000,0,6445,13,36424
20000,11.44,2,123000,1,6171,34,64413
10000,18.2,2,30000,2,3706,11,18409
3000,6.99,7,62000,0,3219,11,2439
15000,7.89,8,62500,0,10766,28,42709
10400,13.99,6,50000,1,3433,11,17703
2000,9.99,5,65000,1,5410,27,73416
15000,13.99,10,97600,0,5137,24,54367
18000,13.33,8,67740,0,5624,29,73303
3150,7.89,9,48000,0,2457,4,3150
10925,13.33,4,50000,1,7724,25,74172
6000,12.69,1,70000,1,4467,36,63390
8000,12.39,10,38000,0,8301,35,35940
21000,13.33,10,170000,0,7602,36,194408
6000,7.26,10,218123,0,6445,42,187873
11000,10.99,10,40000,0,4283,20,17325
13200,12.69,2,38000,0,3676,19,28985
5600,13.18,1,63000,1,3888,8,6209
3000,11.99,1,18000,1,3188,12,31019
24000,8.38,10,80000,0,13599,17,32353
10000,13.33,2,26000,0,5228,18,50579
4000,9.17,10,40257,1,10797,19,70899
7975,12.88,1,55000,0,7054,23,31806
21575,14.99,6,48000,0,5775,7,31136
10000,11.53,9,80000,0,5593,25,32246
18000,6.68,10,155000,0,7144,35,87665
16000,5.32,4,45000,0,4344,28,57571
6000,9.99,4,38000,0,2702,16,18046
11000,9.17,1,65000,0,6748,21,28786
35000,9.17,1,200000,0,3402,12,341
15000,9.17,1,50000,0,4802,27,67868
11925,10.49,2,26000,0,3979,19,12735
24000,10.49,10,86000,0,8301,16,36529
5000,13.33,3,40000,0,5045,37,66982
17075,19.99,5,50256,0,12289,28,11388
30000,8.18,2,120000,0,4497,44,36865
7000,11.44,1,50000,0,1972,5,5108
15525,14.48,3,65000,0,4680,31,116158
14500,16.55,4,43000,1,3826,14,39710
6325,20.99,8,30000,0,3188,14,34144
12000,9.17,10,75000,0,9063,19,26384
8300,9.99,10,60000,0,7997,14,32178
9600,18.49,10,32000,0,3918,16,18527
5000,7.89,4,38000,0,9246,28,15987
24000,23.13,6,43435,0,6598,22,61090
27500,18.99,10,55000,1,9277,52,69802
27700,19.19,5,63000,0,5318,40,91672
24000,12.29,10,80000,6,7236,14,24213
4800,7.89,10,55000,0,11649,23,24582
8000,6.24,10,73500,5,6202,32,46087
8000,12.29,3,55000,6,2914,19,36208
27000,13.33,10,190000,0,11527,34,34538
10500,12.29,6,125000,0,6324,32,28241
10000,12.29,8,55000,0,6080,19,61871
16000,9.99,10,240000,1,10311,17,28442
6500,12.69,7,32750,1,4497,18,30540
35000,8.18,7,95000,2,5318,30,49862
6000,6.68,7,44000,0,7663,14,5894
15000,9.17,10,115000,2,10007,33,77162
15000,9.99,1,90000,0,5349,39,64761
17000,7.49,10,98000,4,7328,34,53458
16000,10.99,10,73776,0,7479,23,13390
1000,9.17,8,62000,0,5563,39,22535
8000,9.17,5,60000,0,4772,9,10998
16000,13.99,1,210000,0,2853,16,103182
28000,6.24,3,115000,0,4619,23,87624
7200,9.99,10,33000,0,7755,38,13800
9325,12.69,1,26000,1,9732,15,5618
5000,12.29,1,109000,2,4863,21,19627
12000,13.18,8,53000,0,5106,33,47382
25075,17.57,4,85500,0,6598,32,29514
31225,16.55,10,105000,0,6202,27,91077
30000,6.89,2,92000,0,8424,36,51367
21000,14.48,0,94000,3,11496,36,47534
10000,9.17,3,55000,0,4894,30,36493
19200,16.55,7,62996,0,4436,44,44051
13775,23.99,1,70400,0,6141,43,161203
30000,18.2,10,110000,0,15576,16,53264
8150,17.86,0,23940,1,9277,16,18755
13000,15.61,2,55000,0,3402,14,31151
9225,14.65,0,21000,0,7297,17,7634
10500,6.89,0,78000,0,13903,35,40654
18000,14.65,10,80000,0,9063,57,79261
18000,6.24,10,75000,0,6840,27,11030
20000,16.55,8,56000,1,4406,20,80825
14000,17.57,8,55029,0,4863,43,104110
15000,7.89,8,63000,1,5989,27,14551
25000,18.2,10,110000,0,5593,21,39151
9000,8.18,5,52000,0,6871,13,39343
20000,6.92,10,100000,2,7694,22,64830
16000,13.99,10,67000,0,5287,49,10118
10000,10.99,8,53000,0,9367,15,34184
2400,6.24,1,20000,0,4497,10,9412
35000,15.61,10,90000,2,8089,20,29834
14825,17.86,10,56236.09,0,5714,16,50202
25000,17.86,2,83220,0,7936,11,59778
2000,6.24,8,78000,0,9458,31,46827
8400,15.59,2,45000,0,2245,8,51301
15000,9.17,10,90000,1,5958,35,28732
8550,8.18,10,77937,1,6080,32,124374
2600,9.17,10,37000,1,8089,31,20371
34425,18.25,8,125000,0,4344,22,40221
15000,12.69,7,59000,0,8393,38,346399
8000,9.17,10,65000,0,7450,25,34291
18000,8.18,10,65000,0,10524,39,91735
5000,7.26,1,45000,0,2610,11,20774
8025,16.55,10,59640,0,5075,28,41326
6400,6.39,9,53000,0,3826,22,17518
10000,12.29,8,37000,0,3188,22,29618
22200,12.69,0,44400,0,11468,25,29978
3500,12.29,1,21000,0,8028,31,33591
6800,19.19,10,20000,0,4984,15,10637
6000,10.99,1,31000,6,3219,18,42553
24000,6.39,8,90000,1,4922,53,50160
14400,13.66,10,43000,0,5805,54,107326
10000,11.53,10,40000,0,9489,30,12363
24000,13.99,10,130000,0,6748,18,47268
7750,12.05,0,17652,0,11954,18,15399
6000,18.54,1,25000,6,4375,15,20832
17625,18.2,1,104000,2,4041,23,27059
20650,19.19,8,62000,0,6233,34,57673
5000,8.18,3,55000,0,5624,21,39533
12000,12.99,2,34000,0,4772,30,14191
35000,13.99,10,135000,0,3706,19,54433
35000,18.25,10,155000,1,11193,34,87002
10000,13.99,10,54000,1,11802,26,8842
24000,12.29,4,65000,2,4102,30,44616
1000,15.61,9,33800,0,4863,27,54035
10000,13.99,10,80000,0,4802,14,28667
9925,20.99,5,40000,0,6018,13,18491
5000,6.24,10,88000,1,9793,14,39778
7500,9.76,10,48000,2,2671,18,29106
5000,9.17,2,55000,1,4436,30,47991
16150,17.57,4,45000,0,2184,10,30560
11900,17.14,10,40000,0,7510,10,41762
12650,18.25,1,40000,0,4406,23,27290
12000,7.89,0,51600,1,4344,45,5428
24000,17.27,10,67000,4,9336,32,111458
17000,17.86,10,61357.56,0,4314,10,26563
21125,18.55,0,55000,0,4741,25,9099
4000,12.59,0,14000,0,2671,9,5305
3800,11.53,0,25320,0,6840,18,29073
4800,9.17,4,130000,0,5683,33,926
25000,19.99,9,150000,0,3706,34,76742
5700,16.55,10,47000,0,4375,23,58232
11400,7.89,9,46000,1,4588,17,16321
22000,15.61,10,110000,2,9489,16,28446
19400,13.67,1,48500,0,3311,18,17702
13125,18.25,2,32817,0,2184,8,11607
11200,16.55,10,56000,0,6049,29,76715
7000,18.49,0,73680,0,7936,16,76137
12000,17.57,2,75000,3,4406,17,64897
10500,13.33,10,30000,0,8485,25,22523
12275,18.55,7,45155,0,9670,22,25782
3600,11.53,10,35000,0,9489,27,53737
12000,9.17,9,65000,2,9793,39,41917
15000,12.29,1,45000,0,3492,18,26322
12000,13.67,4,39000,0,5410,13,42535
2725,16.99,10,36000,0,7358,16,8841
15000,15.59,2,46000,0,5928,37,29073
27000,6.89,7,120000,0,6080,30,62418
8000,8.19,10,40000,0,5775,27,30301
17500,9.99,9,50000,0,5989,16,24780
15000,13.99,2,50000,0,1758,11,2696
14500,20.99,10,50648,0,4953,20,331
14400,11.53,10,90000,1,6263,22,23929
10000,6.89,6,59000,0,4314,17,10496
27000,10.99,1,85500,1,6080,31,45409
8500,13.33,10,17000,0,14053,25,119563
5000,12.69,1,40702,0,4922,15,63998
35000,17.86,9,107000,0,9793,20,75082
9400,14.65,2,21400,0,11802,9,8561
14000,8.67,10,150000,0,9520,55,89102
15000,7.89,1,45000,0,2518,22,21260
4000,15.61,3,50000,0,4406,25,25422
9000,16.55,1,67000,0,1941,7,29374
5400,11.44,5,36050,0,3006,6,37861
21000,17.14,2,100000,0,5228,25,171782
22500,15.61,10,50016,1,6324,46,27042
8500,11.22,0,47126.64,7,10707,34,6551
12000,9.17,2,35000,0,5287,29,53940
24000,6.24,6,110000,0,8150,24,89186
20000,7.89,10,82000,0,5867,19,46392
10200,5.93,7,42000,0,7328,19,26635
19150,23.99,10,66500,1,10463,37,70696
4000,13.33,0,55000,0,4528,17,8418
3000,14.31,3,21000,0,2337,5,20921
15000,9.17,8,44824,0,13933,19,24792
17000,6.99,3,38800,0,6171,21,23883
12000,20.49,4,50000,0,5014,38,45478
6000,9.99,7,25000,0,3553,10,7150
14000,10.99,10,51707,0,7602,21,14299
24000,13.33,2,78000,0,5563,34,69538
24000,7.89,10,90000,0,9550,23,89848
3500,13.67,2,27000,0,5928,33,7559
4800,19.19,1,85000,0,2883,21,71288
4000,21.67,0,8000,0,3614,18,4307
18000,15.59,10,130000,1,6110,25,43804
35000,16.55,5,330000,2,5744,34,307598
25000,7.26,2,330000,0,2610,30,299286
15000,11.44,10,84000,1,6720,46,64363
15000,9.17,9,115000,0,6963,40,68648
3600,11.53,5,35000,0,13750,26,10458
5000,9.17,9,40000,0,3584,7,5934
35000,8.18,2,250000,2,4894,27,131748
14375,15.61,2,80000,0,6567,17,17182
12000,22.99,1,50000,0,2641,7,2978
17000,8.18,10,95000,0,8515,33,45914
15000,13.99,0,48000,0,4406,15,10667
3850,10.64,2,30000,0,1727,10,23568
6550,16.55,1,30500,0,2702,41,116064
5000,5.32,3,82000,0,4528,43,294155
16800,11.22,3,65000,1,6294,36,55756
8000,9.99,4,120000,1,3219,14,55889
25000,14.65,5,175000,0,15211,38,21164
24000,8.18,7,96000,0,4833,21,40838
12700,16.55,1,65000,1,2184,22,81445
10000,11.99,3,60000,0,4071,10,69473
9500,6.24,7,33350,0,4344,16,23338
26200,12.29,7,57000,1,7358,40,61194
7575,12.69,2,27000,1,4314,7,10211
12000,12.59,10,83000,0,8574,14,34881
28000,7.26,10,175000,0,8332,50,82049
18900,11.53,1,45000,1,4283,29,101491
18000,8.18,10,85000,1,9155,31,86278
10000,5.93,1,115000,0,5440,38,34394
27350,6.89,9,75000,0,8880,18,26463
1925,16.99,1,21000,0,1850,4,13424
10000,13.67,10,45000,0,12077,20,30512
7200,12.39,0,33240,0,11346,22,31917
20000,12.29,5,55000,1,3767,12,25214
30000,12.05,10,100000,0,7663,32,84131
15000,13.99,0,93000,1,10950,27,199993
7200,12.29,7,35000,0,4680,17,39131
6000,8.18,10,60000,1,6659,25,49542
35000,18.25,10,80000,0,4497,18,35329
27000,6.24,10,150000,0,5228,36,62967
24000,15.61,10,80000,0,7875,39,53129
13000,6.89,8,92000,0,7967,20,16587
7500,9.99,2,52000,0,6567,16,26674
12000,14.48,1,55000,0,4163,11,54748
15000,12.69,2,65000,0,5440,43,62277
7000,12.29,10,45500,0,10616,46,32393
19000,7.26,1,55000,1,4772,31,229802
5000,9.17,10,50000,0,12319,20,23501
15000,13.67,7,50000,0,3036,4,15608
12000,7.26,1,50000,0,4010,15,28484
20325,14.65,10,50800,0,8546,21,33504
2100,18.84,10,78000,0,6628,22,79835
12000,7.89,6,85000,0,4497,40,110789
14000,7.89,4,59000,0,8911,22,23436
15475,17.86,10,41000,0,5805,17,36784
28000,17.97,5,80000,1,5744,27,18279
32400,9.99,3,85120,0,6080,20,44444
7500,8.18,1,115000,0,6355,30,67863
10000,8.67,8,50000,0,4922,24,12916
21775,18.25,10,52000,0,6355,51,106683
18000,16.55,6,70000,0,3857,13,20257
35000,14.65,10,120000,0,6110,45,35734
6400,7.89,5,39000,1,5379,23,19959
10550,13.33,10,68000,0,7266,20,54471
14000,18.55,3,130000,0,4102,14,44943
25000,11.44,10,100000,1,9277,19,17661
8000,13.99,0,25200,0,7510,29,28601
35000,7.89,10,177000,0,4680,49,30147
35000,17.57,9,95000,0,7997,37,69910
10000,11.44,10,82000,0,7328,22,32985
16000,15.61,4,36257,0,5167,19,41257
35000,7.89,10,170000,0,8485,40,86248
2500,13.99,10,42000,0,6141,36,46147
24000,10.99,1,100000,0,4314,19,35702
15400,6.89,0,70000,0,7266,28,56691
13000,12.69,6,35000,0,9246,20,11842
10000,9.17,1,60800,4,7205,27,23682
30000,11.53,10,85000,1,10889,25,31168
21600,15.61,6,160000,0,6324,20,134179
14850,16.99,3,35400,0,9185,15,14448
8000,5.32,6,70000,0,3676,16,19524
13375,12.05,3,115000,5,11649,34,164020
20000,13.99,10,60000,0,10432,29,90317
7200,6.24,1,41000,0,9976,16,36311
8950,13.67,1,62400,0,2549,14,37184
29050,20.99,10,119000,0,6993,16,21177
24000,15.59,6,102000,0,3096,17,44991
20000,9.17,10,100000,0,6779,27,32012
24250,11.44,9,137500,0,7694,12,17873
28000,18.84,4,120000,0,10707,11,62838
